EMP_NO,EMP_NAME,BAND,NB_FROM,AGEING_BUCKET,ONSITE_OFFSHORE,Location,EXPERIENCE,ROLE_NAME,COUNTRY,Skills_from_iAspire,CERTIFIED_SKILLS,TRAINED_SKILLS,RECENT_SKILL,LANGUAGE_SKILL,ROLE_CLUSTER_NAME
1289,Employee1289,GROUP D1,01-02-2026,31-60 DAYS,ONSITE,HOUSTON,25Years 3Months,Partner - Tech & Impl L1,USA,"Agile Methodologies(L5), Agile Scrum Delivery(L5), Amazon Web Services (AWS)(L4), Artificial Intelligence(L4), Azure Cloud Services(L4), Business Analysis(L5), Business Process Improvement(L5), C Application Programming(L3), C# - Csharp-Programming(L3), C++(L3), Corporate Real Estate(L5), CRM - Customer Relationship Management(L5), Data Architecture(L5), Data Management(L5), Digital Transformation(L5), Electronic Document Management System(L5), Energy Industry(L5), Enterprise Data Management(L4), Executive Leadership(L4), Generative AI(L4), Leadership(L5), Lean(L5), Machine Learning(L5), Management Consulting(L5), MATLAB for Data Science(L3), Oil and Gas(L5), Osdu(L5), Platform Operations(L4), Product Development(L5), Product Owner(L5), Professional Scrum Master I(L5), Professional Scrum Product Owner(L5), Program Management(L5), Project Management(L5), Requirements Analysis(L5), Scrum(L5), SDLC(L5), Seismic Data(L5), Software Development(L5), Software Project Management(L5), Software Suite(L4), Solution Architecture(L5), Solution Development(L5), Strategic Planning(L5), Strategic Vision(L5), Subsurface & Wells Data Domain(L5), Subsurface & Wells Data(L5), Subsurface Geoscience(L5), Subsurface(L5), Techlog(L5), Upstream Application Development(L5), Upstream Application Support(L5), Upstream Data Management(L5), Upstream(L5), Vendor Management(L5), Wells(L5), Wipro Values(L5), Wireline Operations(L5), Workflow Orchestration(L5)","AWS GEN AI(L1),AWS GEN AI(L2),GENERATIVE AI(L1),MS AZURE AI ML(L1),PROFESSIONAL SCRUM MASTER I(L1),PROFESSIONAL SCRUM PRODUCT OWNER(L2)","AWS Gen AI(L1),AWS Gen AI(L2),Generative AI(L0),Generative AI(L1),Lean(L1),MS Azure AI ML(L1),WEGA for AI(L0),Wipro Values(L2)","AGILE SCRUM DELIVERY,AZURE CLOUD SERVICES,C APPLICATION PROGRAMMING,C# - CSHARP-PROGRAMMING,C++,CRM - CUSTOMER RELATIONSHIP MANAGEMENT,MATLAB FOR DATA SCIENCE,PROJECT MANAGEMENT,UPSTREAM - OIL AND GAS,UPSTREAM APPLICATION DEVELOPMENT,UPSTREAM APPLICATION SUPPORT,UPSTREAM DATA MANAGEMENT,UPSTREAM FUNCTIONAL CONSULTING","English,Hindi",Managing Consultant - Adv. And Mgmt Upstream Functional Consulting - L1
1290,Employee1290,GROUP B3,16-04-2026,8-15 DAYS,OFFSHORE,BENGALURU,10Years 6Months,Domain Consultant L2,INDIA,"ArcSight(L3), Avaya Wireless LAN, Behavioral Driven Development Testing(L1), BMC Helix Remedy Force(L1), CICS(L1), COBOL(L1), Confidence(L1), DB2 - Z/Os Application Programming(L1), Effective Communication(L1), Functional Testing, Generative AI(L1), Informatica PowerCenter(L3), JCL - Job Control Language(L1), Jira, LDAP(L1), MainFrame Infra Consulting(L1), McAfee Endpoint Protection Solution(L1), MemSQL, Microfocus Enterprise Analyzer Portfolio, Microsoft Active Directory Admin(L1), OBIEE(L3), Office 365 - Admin Center(L1), Oracle CC Billing Application Testing(L2), Oracle Customer Care Billing Functional(L1), Oracle MDM - Meter Data Management, Oracle SQL(L1), Oracle Utilities Customer to Meter(L1), SAP Basis(L2), SAP CRM Cloud for Customer(L1), SoapUI, Storage, Symantec Antivirus - Endpoint Protection(L1), System Center Configuration Manager, Testing, Training, Utilities Retail Industry(L1), VSAM(L1)","ARCSIGHT(L3),BEHAVIORAL DRIVEN DEVELOPMENT TESTING(L1),DB2 - Z/OS APPLICATION PROGRAMMING(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),INFORMATICA POWERCENTER(L1),INFORMATICA POWERCENTER(L2),INFORMATICA POWERCENTER(L3),LDAP(L1),OBIEE(L3),OFFICE 365 - ADMIN CENTER(L1),SAP BASIS(L2),SAP CRM CLOUD FOR CUSTOMER(L1)","ArcSight(L3),Behavioral Driven Development Testing(L1),DB2 - Z/OS Application Programming(L1),Effective Communication(L1),Generative AI(L0),Generative AI(L1),Informatica Powercenter(L1),Informatica Powercenter(L2),Informatica Powercenter(L3),LDAP Directory Services(L1),M365 Copilot(L1),OBIEE(L3),Office 365 - Admin Center(L1),Oracle CC Billing Application Testing(L2),Oracle Customer Care Billing Functional(L1),SAP BASIS(L2),SAP CRM Cloud for Customer(L1),Self-confidence(L1),WEGA for AI(L0)","CICS,COBOL,DB2 - Z/OS APPLICATION PROGRAMMING,JCL - JOB CONTROL LANGUAGE,MAINFRAME INFRA CONSULTING,VSAM","English,Hindi,Kannada,Telugu",DOMAIN CONSULTANT UTILITIES - L2
1291,Employee1291,GROUP B1,01-04-2026,16-30 DAYS,OFFSHORE,HYDERABAD,5Years 7Months,Developer L2,INDIA,"Accessibility Testing(L1), Behavioral Driven Development Testing(L1), Confidence(L1), Cypress(L2), Data Security Consulting(L1), Data Security(L1), Effective Communication(L1), English Language(L1), Functional Testing(L2), Generative AI(L1), HTML 5(L1), Mobile App Performance Testing(L1), Office 365 - Admin Center(L1), Oracle SQL(L1), SAP CRM Cloud for Customer(L2), SeeTest Testing(L1), Web Testing(L1), Wipro Values(L2)","BEHAVIORAL DRIVEN DEVELOPMENT TESTING(L1),CORE JAVA(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),HTML 5(L1),OFFICE 365 - ADMIN CENTER(L1),ORACLE SQL(L1),SAP CRM CLOUD FOR CUSTOMER(L2)","Behavioral Driven Development Testing(L1),CORE JAVA(L2),Core Java(L1),DevOps(L1),Effective Communication(L1),English Language(L1),FUNCTIONAL TESTING(L2),Generative AI(L0),Generative AI(L1),Github Copilot(L2),HTML 5(L1),Office 365 - Admin Center(L1),Oracle SQL(L1),SAP CRM Cloud for Customer(L2),Self-confidence(L1),Wipro Values(L2)","DATA SECURITY,DATA SECURITY CONSULTING","English,Hindi,Telugu",DEVELOPER JAVA BACKEND - L2
1292,Employee1292,GROUP B2,20-12-2025,91-120 DAYS,OFFSHORE,HYDERABAD,9Years 3Months,Developer L3,INDIA,"API, CSS, Generative AI(L1), MySQL(L2), PEGA L3, PEGA Testing(L1), Smart Dispute PEGA, User Interface, Wipro Values(L2)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3)","English Language(L1),GITHUB COPILOT(L3),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),NA(NA),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L1),Pega(L2),WEGA for AI(L0),Wipro Values(L2)",,,DEVELOPER PEGA - L3
1293,Employee1293,GROUP B2,01-04-2026,16-30 DAYS,OFFSHORE,BENGALURU,4Years 10Months,Developer L3,INDIA,"AI Cognitive(L4), Apache Hive(L3), API(L3), Artificial Intelligence(L4), Big Data Processing(L3), Big Data Testing(L3), Bot Framework(L4), Caffe(L4), Communication(L3), Computing(L3), Confidence(L5), Data Filtering(L4), Data Processing(L4), Data Science(L4), Dataset(L3), Deep Learning(L3), Documentation(L4), Effective Communication(L5), Exploratory Data Analysis(L4), Face Detection(L2), Flask(L3), Gen AI(L4), Generative AI(L4), Gradient Boosting(L3), Hand Saw(L2), HIVE(L2), Image Classification(L3), Implementation(L3), Innovative Solutions(L3), Installation(L3), Jax-RS - Java API- RESTful Web Services(L2), Jupyter Notebook(L4), Langchain(L4), Language Modeling(L4), Language(L3), Lean(L4), LLM(L4), Machine Learning(L4), Mathematics(L4), Matplotlib(L4), Numpy(L4), Onnx(L4), Open Source(L3), Outliers(L3), Pandas(L4), Platform Integration(L3), PySpark(L3), Python Developer(L4), Python for Data Science(L4), Python Scripting(L4), Python(L4), PyTorch(L4), RapidMiner(L2), Records Tracking(L3), Showcasing(L3), Statistical Analysis(L4), Streamlit(L4), Technology (Alight It)(L3), TensorFlow(L4), User Interface(L3), Wipro Values(L4)","ENGLISH LANGUAGE(L1),GCP AI ML(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),MS AZURE AI ML(L2),PYTHON FOR DATA SCIENCE(L2),PYTHON SCRIPTING(L1),RAPIDMINER(L1),RAPIDMINER(L2)","Cloud-PaaS-GCP-Google Cloud Platform(L1),Effective Communication(L1),English Language(L1),GCP AI ML MLOps(L1),Generative AI(L0),Generative AI(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Hive Open Source(L2),Lean(L1),M365 Copilot(L1),MS Azure AI ML(L2),NA(NA),NA(NA),NA(NA),NA(NA),NA(NA),NA(NA),PYTHON FOR DATA SCIENCE(L1),PYTHON FOR DATA SCIENCE(L1),Python Application Programming(L1),Python Scripting(L1),Python for Data Science(L2),Python for Data Science(L2),Python for Data Science(L2),RAPIDMINER(L1),RAPIDMINER(L2),Self-confidence(L1),Voice and Accent Coaching(L2),WEGA for AI(L0),WEGA for AI(L3),Wipro Values(L2)","HIVE,JAX-RS - JAVA API- RESTFUL WEB SERVICES,MACHINE LEARNING,PYSPARK,PYTHON SCRIPTING","English,Hindi",Developer Enterprise Platform Engineering Python - L3
1294,Employee1294,GROUP C1,19-03-2026,8-15 DAYS,OFFSHORE,CHENNAI,18Years 1Months,Technology Architect L1,INDIA,"Aiops, Aiops New Relic(L3), Aiops Observability(L4), Analysis(L2), AppDynamics Certified Associate Administrator(L4), AppDynamics Certified Associate Performance Analyst(L4), AppDynamics Certified Implementation Professional(L3), AppDynamics(L4), Application Support Desk(L2), Architecture(L2), AZ-900 Microsoft Azure Fundamentals(L2), Azure Cloud Services(L1), Backup and Recovery, Computing(L2), Dashboard Reporting(L2), Data Center Operations(L2), Design(L2), Dynatrace(L2), Electronics(L2), Enterprise Applications(L2), Foglight(L2), Generative AI(L2), Git(L2), Implementation(L3), ITIL Incident Mgmt(L1), ITSM Framework(L2), Lean(L1), Management Reporting(L2), Management(L3), Monitoring Tools(L4), Network Management(L2), New Relic(L3), Oracle Enterprise Manager(L2), Performance Monitoring(L2), Point Clouds, Root Cause Analysis(L3), Splunk(L2), Teamwork(L3), Technical Support(L2), Tool Management(L2), Troubleshooting(L3), Wipro Values(L2)","AIOPS OBSERVABILITY(L1),APPDYNAMICS CERTIFIED ASSOCIATE ADMINISTRATOR(L2),APPDYNAMICS CERTIFIED ASSOCIATE PERFORMANCE ANALYST(L2),APPDYNAMICS CERTIFIED IMPLEMENTATION PROFESSIONAL(L3),AZ-900 MICROSOFT AZURE FUNDAMENTALS(L2),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3)","AIOPS - DYNATRACE(L0),AIOPS - IMPLEMENTATION(L1),AIOPS - IMPLEMENTATION(L1),AIOPS CLOUD OBSERVABILITY(L1),AIOPS Cloud Observability(L1),AIOPS NEW RELIC(L0),AIOPS NEW RELIC(L0),AIOPS NEW RELIC(L1),AZURE CLOUD SERVICES(L1),AZURE CLOUD SERVICES(L1),Azure Cloud Data Platform Engineering(L1),English Language(L1),GCP GEN AI(L1),GIT-SCM - Version Control System(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Lean(L1),M365 Copilot(L1),MS Azure AI ML(L2),NA(NA),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3),Wipro Values(L2)","AIOPS - APPDYNAMICS,APPDYNAMICS,APPLICATION SUPPORT DESK,ITIL INCIDENT MGMT,NETWORK MANAGEMENT,TECHNICAL SUPPORT","English,Hindi,Tamil,Telugu",TECHNOLOGY ARCHITECT AIOPS APPDYNAMICS OBSERVABILITY - L1
1295,Employee1295,GROUP B2,01-04-2026,16-30 DAYS,ONSITE,TACOMA,4Years 6Months,Business Analyst L3,USA,,GENERATIVE AI(L1),"AI Consulting Responsible AI(L1),Generative AI(L1)",,,Designit Data Analyst L3
1296,Employee1296,GROUP B2,12-01-2026,91-120 DAYS,OFFSHORE,HYDERABAD,6Years 10Months,Developer L3,INDIA,"Adaptability, Analysis, Apache Kafka(L2), Apache Subversion, Behavioral Driven Development Testing(L1), Business Integration, Business Transactions, Coding, Communication(L4), Competency Framework, Computer Science, Computer Science and Engineering, Continuous Integration, Core Java(L1), CRM - Customer Relationship Management(L1), Data Warehouse Software, Deployments(L3), Design, Design Analysis, Design and Development, Documentation, E-commerce, Enterprise Application Integration, Finance and Accounting(L1), Generative AI(L1), HTML 5(L1), Hybris, Industry Knowledge, Informatica PowerCenter(L3), Java Database Connectivity, Jenkins(L2), Jira(L2), Language, Maintenance, Management, Mapping, Messaging, Microsoft Office, Middleware(L3), Monitoring, Office 365 - Admin Center(L1), Oracle E-Business Suite, Parts Locator, Presentation Skills, Product Support, Programming, Requirements Gathering, Retail Business(L1), Sales Channels - Ecommerce(L1), SAS Di(L3), ServiceNow-Development(L2), Standardization, Support(L3), Tableau(L3), TACL - Tandem Advanced Command Language(L3), Teamwork, Training(L3), Troubleshooting, Unit Testing, User Acceptance Testing, Web Applications, Web Components, Web Services, webMethods Flow, Wipro Values(L2), Workflow","APACHE KAFKA(L1),BEHAVIORAL DRIVEN DEVELOPMENT TESTING(L1),CORE JAVA(L1),CRM - CUSTOMER RELATIONSHIP MANAGEMENT(L1),ENGLISH LANGUAGE(L1),FINANCE AND ACCOUNTING(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),HTML 5(L1),HTML 5(L3),INFORMATICA POWERCENTER(L1),INFORMATICA POWERCENTER(L2),INFORMATICA POWERCENTER(L3),JENKINS(L1),JENKINS(L2),JIRA(L1),OFFICE 365 - ADMIN CENTER(L1),RETAIL BUSINESS(L1),SALES CHANNELS - ECOMMERCE(L1),SAS DI(L3),TABLEAU(L1),TABLEAU(L2),TABLEAU(L3),TACL - TANDEM ADVANCED COMMAND LANGUAGE(L2),TACL - TANDEM ADVANCED COMMAND LANGUAGE(L3)","Behavioral Driven Development Testing(L1),CRM - Customer Relationship Management(L1),Core Java(L1),Finance and Accounting(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L2),HTML 5(L1),HTML 5(L3),Informatica Powercenter(L1),Informatica Powercenter(L2),Informatica Powercenter(L3),JIRA(L1),Jenkins(L1),Jenkins(L2),KAFKA OPEN SOURCE(L2),Kafka Open Source(L1),Kafka Open Source(L1),NA(NA),Office 365 - Admin Center(L1),Retail Business(L1),SAS DI(L3),Sales Channels - ECommerce(L1),TACL - Tandem Advanced Command Language(L2),TACL - Tandem Advanced Command Language(L3),Tableau(L1),Tableau(L2),Tableau(L3),WEGA for AI(L0),WEGA for AI(L0),Wipro Values(L2)",,"English,Hindi,Telugu",DEVELOPER WEBMETHODS INTEGRATION - L3
1297,Employee1297,TEAMRBOW,19-09-2025,>180 DAYS,OFFSHORE,CHENNAI,0Years 7Months,Developer L1,INDIA,"Adaptability(L1), Angular(L1), Bootstrap(L1), CSS(L1), GitHub(L1), HTML(L1), Java(L1), Leadership(L1), PCB Design(L1), Postman(L1), REST API(L1), SQL(L1), TypeScript(L1)","CORE JAVA(L1),ENGLISH LANGUAGE(L1),GCP AI ML(L1),GCP AI ML(L2),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3)","AGENTIC AI(L1),AI Consulting Responsible AI(L1),AI FOR SDLC(L2),Azure Cloud Data Platform Engineering(L1),CLOUD-MICROSOFT AZURE(L1),Core Java(),Core Java(),Core Java(L1),Core Java(L1),Core Java(L3),English Language(L1),GCP AI ML MLOps(L1),GCP AI ML MLOps(L2),GENERATIVE AI PROMPT ENGINEERING(L2),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),M365 Copilot(L1),NA(NA),NA(NA),NA(NA),NA(NA),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,DEVELOPER JAVA BACKEND - L1
1298,Employee1298,GROUP C1,25-04-2026,0-7 DAYS,OFFSHORE,CHENNAI,12Years 4Months,Principal Consultant - Tech & Impl L1,INDIA,"Application Architecture(L3), Application Rationalization, Business Architecting(L1), Cloud Application Consulting(L1), Core Java(L2), Digital Strategy(L3), Enterprise Architecture Consulting(L3), Enterprise Architecture(L3), Google Cloud Admin(L3), IT Cost Optimization(L3), IT Strategy & Transformation(L3), IT Strategy(L3), Leanix, Operating Model(L3), Project Management(L3), Strategy, Technology Architecture(L2), Telecommunications, TOGAF(L3), Webservices-Soa(L1)","ENGLISH LANGUAGE(L1),GCP AI ML(L1),GENERATIVE AI(L1),GENERATIVE AI(L2),GITHUB COPILOT(L2)","GCP AI ML MLOps(L1),GCP CONSULTING(L1),GCP GEN AI(L1),GOOGLE CLOUD ADMIN(L3),Generative AI(L1),Generative AI(L2),Github Copilot(L2),WEGA for AI(L0)","BUSINESS ARCHITECTING,CLOUD APPLICATION CONSULTING,CORE JAVA,ENTERPRISE ARCHITECTURE CONSULTING,IT STRATEGY & TRANSFORMATION,PROJECT MANAGEMENT,WEBSERVICES-SOA","English,Hindi,Malayalam,Tamil",Principal Consultant - Tech & Impl ENTERPRISE STRATEGY & ADVISORY - L1
1299,Employee1299,GROUP B2,28-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,11Years 4Months,CAD Engineer L3,INDIA,"BRD, Cross-Functional Collaboration, Customer Issue Management, Escalation Management, FRD, Process Governance, Product Lifecycle Coordination, Requirement Documentation, Stakeholder Coordination, Stakeholder Management, Supplier Quality Governance, Team Leadership","CAD INTERFACING(L1),CAD MODELING(L1),CAD MODELING(L2),CAD MODELING(L3),CAD MODELING(L4),CAE MODELING(L1),CAE MODELING(L2),CAE MODELING(L3),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),MECHANICAL PRODUCT DEVELOPMENT(L1),VALUE ANALYSIS-VALUE ENGINEERING(L1)","ARIBA DOWNSTREAM(L1),CAD Interfacing(L1),CAD Modeling(L1),CAD Modeling(L2),CAD Modeling(L3),CAD Modeling(L4),CAE Modeling(L1),CAE Modeling(L2),CAE Modeling(L3),Effective Communication(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),M365 Copilot(L1),Mechanical Product development(L1),NA(NA),NA(NA),NA(NA),Value Analysis-Value engineering(L1),WEGA for AI(L0)",,,CAD Engineer Design - L3
1300,Employee1300,GROUP B2,05-01-2026,91-120 DAYS,OFFSHORE,HYDERABAD,7Years 7Months,Developer L3,INDIA,"Agile Methodologies(L3), Angular 11(L3), Angular CLI(L3), Angular Components(L3), Angular UI(L3), Angular(L3), AngularJS(L3), Business Etiquette(L3), Business Writing(L3), C++ Application Programming(L2), Canva(L4), Communication(L3), CSS3(L3), Design(L3), Generative AI Copilot(L2), Generative AI Prompt Engineering(L2), Generative AI(L2), GitHub Copilot(L2), GitHub(L3), HTML 5(L4), HTML5(L3), Implementation(L3), Logo Design(L3), M365 Copilot(L2), MySQL Workbench(L1), Painting(L4), Professionalism(L3), RxJS(L2), Singing(L4), Software Development(L3), SQL(L2), Swagger UI(L3), Technical Proficiency(L3), Training(L3), TypeScript(L3), Unix Application Programming(L2), Visual Studio Code(L3)","AWS GEN AI(L1),BEHAVIORAL DRIVEN DEVELOPMENT TESTING(L1),BUSINESS ANALYSIS(L1),CONSUMER GOODS - FOOD AND BEVERAGES(L1),CONSUMER GOODS(L1),CRM - CUSTOMER RELATIONSHIP MANAGEMENT(L1),ENGLISH LANGUAGE(L1),GCP AI ML(L1),GCP AI ML(L2),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),INFORMATICA POWERCENTER(L1),INFORMATICA POWERCENTER(L2),INFORMATICA POWERCENTER(L3),OFFICE 365 - ADMIN CENTER(L1),PRODUCT TESTING(L2),QUALITY ASSURANCE(L3),TABLEAU(L1),TABLEAU(L2)","AMAZON WEB SERVICES - AWS(L1),AWS Gen AI(L1),Behavioral Driven Development Testing(L1),Business Analysis(L1),C++ APPLICATION PROGRAMMING(L2),CRM - Customer Relationship Management(L1),Consumer Goods - Food and Beverages(L1),Consumer Goods(L1),Cryptography(L1),ENGLISH LANGUAGE(L1),GCP AI ML MLOps(L1),GCP AI ML MLOps(L2),GITHUB COPILOT(L3),GOOGLE CLOUD ADMIN(L2),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Informatica Powercenter(L1),Informatica Powercenter(L2),Informatica Powercenter(L3),Lean(L1),NA(NA),NA(NA),NA(NA),Office 365 - Admin Center(L1),PYTHON APPLICATION PROGRAMMING(L2),Product Testing(L2),Quality Assurance(L3),Tableau(L1),Tableau(L2),UI Automation(L1),UNIX APPLICATION PROGRAMMING(L1),Unix Application Programming(L1),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L3),WEGA for AI(L3),WEGA for AI(L3)","ANGULAR JS,C++,C++ APPLICATION PROGRAMMING,HTML 5,JAVASCRIPT,UNIX APPLICATION PROGRAMMING","English,Hindi,Telugu",DEVELOPER UI MODERNIZATION - L3
1301,Employee1301,GROUP B2,28-02-2026,31-60 DAYS,OFFSHORE,BENGALURU,5Years 6Months,Business Analyst L3,INDIA,"Azure Boards, Communication, Confidence(L3), Consulting, Effective Communication(L3), End to End Project Management(L3), English Language(L5), Gen AI, Generative AI(L1), Jira(L4), Lean(L2), Listening Skills, Microsoft Teams(L4), Presentation Skills(L4), Process Management(L3), Project Management(L3), Risk Management, Salesforce AI Associate(L3), Teamwork(L4), Test Management(L2), Visual Communication, Wipro Values(L3)","AWS GEN AI(L1),BUSINESS ANALYSIS(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),SALESFORCE AI ASSOCIATE(L1)","AI Consulting Responsible AI(L1),AWS Gen AI(L1),Business Analysis(L1),Effective Communication(L1),English Language(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L2),Lean(L1),NA(NA),NA(NA),NA(NA),NA(NA),NA(NA),SALESFORCE EINSTEIN CLOUD(L1),SFDC Einstein Cloud(L1),SFDC Einstein Cloud(L1),SFDC Einstein Cloud(L2),Self-confidence(L1),WEGA for AI(L0),WEGA for AI(L3),Wipro Values(L2)",BUSINESS ANALYSIS,"English,Hindi,Kannada,Malayalam,Tamil",BUSINESS ANALYST L3
1302,Employee1302,GROUP B3,07-03-2026,31-60 DAYS,ONSITE,PUNE,15Years 8Months,Technical Lead L1,CANADA,"Agile Methodologies(L4), Agile-Scrum(L4), API Automation Testing(L4), Application Lifecycle Management - ALM(L4), Application Testing(L5), Core Java(L3), Cucumber(L4), DevOps-Cucumber(L4), English Language(L3), ETL Testing(L3), Fullstack SDET(L3), Generative AI(L2), Git(L4), Java(L4), Jenkins(L3), Jira(L4), Microfocus QTP - UFT Automation Testing, MySQL(L3), Postman(L2), REST Assured(L4), RFT - IBM Rational Functional Tester(L1), SDLC, Selenium Automation(L4), Selenium(L4), SQL(L3), Staf Test Automation Framework, Test Automation(L4), Test Management, Test Planning","ENGLISH LANGUAGE(L1),FULLSTACK SDET(L3),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),SELENIUM(L1),SELENIUM(L2),SELENIUM(L3)","FullStack SDET(L3),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),NA(NA),Pega(L1),Selenium(L1),Selenium(L2),Selenium(L3)","AGILE-SCRUM,APPLICATION LIFECYCLE MANAGEMENT - ALM,APPLICATION TESTING,CORE JAVA,DEVOPS-CUCUMBER,ETL TESTING,JENKINS,JIRA,MICROFOCUS QTP - UFT AUTOMATION TESTING,MYSQL,SELENIUM,STAF TEST AUTOMATION FRAMEWORK",English,Test Automation Lead - L1
1303,Employee1303,GROUP B1,20-01-2026,31-60 DAYS,OFFSHORE,BENGALURU,4Years 2Months,Developer L2,INDIA,"Agile Methodologies(L2), Apache Spark(L2), Azure Databricks, Azure SQL Database(L3), Azure Synapse Analytics(L2), Cloud Azure Admin(L3), Cloud-Paas-Azure(L2), Cloud-Paas-GCP-Google Cloud Platform(L2), Confidence(L3), Data Analysis(L3), DP-900 Microsoft Azure Data Fundamentals(L2), Effective Communication(L3), Generative AI(L1), Google Cloud Certified - Associate Cloud Engineer(L2), Microsoft SQL Server Management Studio, Microsoft SQL Server(L3), Oracle SQL(L3), Product Testing(L2), Service Now Ticket Management & Support, Spark SQL, SQL(L3), Voice and Accent Coaching(L2)","BIG DATA(L1),CLOUD AZURE ADMIN(L3),CLOUD-PAAS-AZURE(L1),CLOUD-PAAS-AZURE(L2),CLOUD-PAAS-GCP-GOOGLE CLOUD PLATFORM(L1),DATABRICKS - DATA ENGINEERING(L2),DP-900 MICROSOFT AZURE DATA FUNDAMENTALS(L2),ENGLISH LANGUAGE(L1),GCP AI ML(L2),GENERATIVE AI(L1),GENERATIVE AI(L2),GENERATIVE AI(L3),GOOGLE CLOUD CERTIFIED - ASSOCIATE CLOUD ENGINEER(L1),HADOOP(L1),INFORMATICA POWERCENTER(L3),ORACLE SQL(L1),SELENIUM(L1),SELENIUM(L2),TALEND DI(L1),TALEND DI(L2),UNIX APPLICATION PROGRAMMING(L3)","AZURE DATA FACTORY(L1),Agentic AI(L1),Apache Spark(L1),Azure Cloud Data Platform Engineering(L1),Big Data(L1),Big Data(L1),Cloud Azure Admin(),Cloud Azure Admin(L3),Cloud Azure Admin(L3),Cloud-PaaS-Azure(L1),Cloud-PaaS-Azure(L2),Cloud-PaaS-GCP-Google Cloud Platform(L2),Cloud-PaaS-GCP-Google Cloud Platform(L2),Cloud-PaaS-GCP-Google Cloud Platform(L2),DATABRICKS - DATA ENGINEERING(L2),DATABRICKS - DATA ENGINEERING(L2),DataBricks - Data Engineering(L2),DataBricks - Data Engineering(L2),DataBricks - Data Engineering(L3),Effective Communication(L1),English Language(L1),GCP AI ML MLOps(L2),GCP Cloud PaaS Google Cloud Platform(L1),GITHUB COPILOT(L2),GOOGLE CLOUD ADMIN(L1),Generative AI(L0),Generative AI(L1),Generative AI(L2),Generative AI(L3),Google Cloud Admin(L2),Hadoop Cloudera(L1),Informatica Powercenter(L3),Informatica Powercenter(L3),Java-J2EE(),Java-J2EE(L1),Lean(L1),MACHINE LEARNING(L1),MICROSOFT FABRIC(L2),MS AZURE AI ML(L1),NA(NA),NA(NA),ORACLE SQL(L1),Oracle SQL(),Oracle SQL(L1),Oracle SQL(L1),Oracle SQL(L1),PL-SQL(L1),PROJECT MANAGEMENT # DAAI-DB(L1),PROJECT MANAGEMENT # DAAI-DB(L1),PROJECT MANAGEMENT # DAAI-IM(L1),PROJECT MANAGEMENT # DAAI-IM(L1),PROJECT MANAGEMENT - DAAI-BDA-BI(L1),PROJECT MANAGEMENT - DAAI-BDA-BI(L1),PYSPARK OPEN SOURCE(L2),PySpark Open Source(L1),SELENIUM(L2),Selenium(L1),Selenium(L1),Selenium(L2),Self-confidence(L1),Talend DI(L1),Talend DI(L1),Talend DI(L2),Talend DI(L2),Unix Application Programming(L3),Unix Application Programming(L3),Voice and Accent Coaching(L2),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,"English,Telugu",DEVELOPER AZURE DATA FACTORY ENGINEER - L2
